"ID","Size","OD","ED202","LD201","ES301","BD20A","BT75A","DD20A","FD201","FD20X","FD772","GC20A","GD20X","GD22A","TS31A","BC21A"
1,"0.5",21.3,2.77,3.73,2.77,2.77,2.77,2.77,2.77,2.77,,7.47,3.73,4.78,,4.78
2,"0.75",26.7,2.87,3.91,2.87,2.87,2.87,2.87,2.87,2.87,,7.82,3.91,5.56,,5.56
3,"1.0",33.4,3.38,6.35,3.38,2.77,3.38,3.38,3.38,3.38,,9.09,4.55,6.35,,6.35
4,"1.5",48.3,3.68,7.14,3.68,2.77,2.77,3.68,3.68,3.68,,10.15,7.14,7.14,,5.08
5,"2.0",60.3,3.91,8.74,2.77,2.77,2.77,3.91,3.91,3.91,,12.5,8.74,8.74,,5.54
6,"3.0",88.9,5.49,15.24,5.49,3.05,3.05,5.49,5.49,5.49,,16,11.13,11.13,,5.49
7,"4.0",114.3,6.02,17.12,6.02,3.05,6.02,6.02,8.56,8.56,,20,13.49,13.49,,6.02
8,"5.0",141.3,,,,,,,,,,,,,,
9,"6.0",168.3,7.11,25,10.97,3.4,7.11,7.11,10.97,10.97,,30,21.95,18.26,,7.11
10,"8.0",219.1,10.31,32,10.31,3.76,6.35,8.18,12.7,15.09,,36,25,23.01,,8.18
11,"10.0",273.1,12.7,32,12.7,4.19,7.8,9.27,15.09,18.26,,45,32,28.58,,9.27
12,"12.0",323.9,12.7,40,14.27,6.35,8.38,9.53,17.48,21.44,17.48,50,36,33.32,,10.31
13,"14.0",355.6,15.09,45,15.09,6.35,9.53,11.13,19.05,19.05,,,40,,,11.13
14,"16.0",406.4,16.66,50,16.66,6.35,12.7,12.7,26.19,,,,,,,12.7
15,"18.0",457.2,19.05,,19.05,7.92,12.7,14.27,29.36,,,,,,,14.27
16,"20.0",508,20.62,,20.62,9.53,12.7,15.09,32.54,,,,,,,15.09
17,"24.0",609.6,24.61,,24.61,9.53,14.27,17.48,38.89,,,,,,,17.48
18,"26.0",660.4,,,,,,,,,,,,,,
19,"28.0",711.2,,,,,,,,,,,,,,
20,"30.0",762,,,,,,,,,,,,,,
21,"32.0",813,,,,,,,,,,,,,,
22,"36.0",914,,,,,,,,,,,,,,
23,"40.0",1016,,,,,,,,,,,,,,
